"V.M., Mostofi, Vahid Mirzaebrahim; E., Krul, Evan; D., Krishnamurthy, Diwakar; M.F., Arlitt, Martin F.","Trace-Driven Scaling of Microservice Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151504621&partnerID=40&md5=e295a30d5c7dd3460a549591e0a77bc1","The containerized microservices architecture is being increasingly used to build complex applications. To minimize operating costs, service providers typically rely on an auto-scaler to 'right size' their infrastructure amid fluctuating workloads. The agile nature of microservice development and deployment requires an auto-scaler that does not require significant effort to derive resource allocation decisions. In this paper, we investigate reducing auto-scaler development effort along a number of dimensions. First, we focus on a technique that does not require an expert to develop a model, e.g., a queuing model or machine learning model, of the system and tweak the model as the underlying microservice application changes. Second, we explore ways to limit the number of workload patterns that need to be considered. Third, we study techniques to reduce the number of resource allocation scenarios that one has to explore before deploying the auto-scaler. To address these goals, we first analyze the workload of 24,000 real microservice applications and find that a small number of workload patterns dominate for any given application. These results suggest that auto-scaler design can be driven by this small subset of popular workload patterns thereby limiting effort. To limit the number of resource allocation scenarios explored, we develop a novel heuristic optimization technique called MOAT, which outperforms Bayesian Optimization often used for such exercises. We combine insights obtained from real microservice workloads and MOAT to realize an auto-scaler called TRIM that requires no system modeling. For each popular workload pattern identified for an application, TRIM uses MOAT to pre-compute a near minimal resource allocation that satisfies end user response time targets. These resource allocations are then used at runtime when appropriate. We validate our approach using a variety of analytical, on-premise, and public cloud systems. From our results, TRIM in consort with MOAT significantly improves the performance of the industry-standard HPA auto-scaler by achieving up to 92% fewer response time violations and up to 34% lower costs compared to using HPA in isolation. © 2023 Elsevier B.V., All rights reserved.",Autoscaling approach application. Conducts a study on performance models and recurring load shapes but does not consider automatic load test generation.
"C., Mascia, Cristian; A., Guerriero, Antonio; L., Giamattei, Luca; R., Pietrantuono, Roberto; S., Russo, Stefano","Microservices Performance Testing with Causality-enhanced Large Language Models","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011360178&partnerID=40&md5=4653a8f311da5e7a0f460a361962bc04","Efficient performance testing of microservices is essential for engineers to ensure that deviations of performance/resource usage metrics from expectations are promptly identified within their rapid release cycle. To this aim, engineers would need to explore the space of possible workload configurations and focus only on the critical ones, e.g., low-load configurations that unexpectedly cause performance issues. This requires a great effort, and can be infeasible in short release cycles.We present CALLMIT, a framework using Large Language Models (LLM) enhanced by causal reasoning to automatically generate critical workloads for microservices performance testing. Engineers query CALLMIT to generate workload configurations expected to expose deviations from performance requirements, so as to actually run only tests that trigger critical configurations. We present the experimental evaluation on three subjects, with comparison to a conventional Retrieval-Augmented Generation technique. The results show that causal models improve the correct identification by LLM of performance-critical workload configurations. © 2025 Elsevier B.V., All rights reserved.",Close approach. Performs load test generation for microservices through LLMs and causal reasoning. Does not involve autoscalers. Generates a static load test. Does not consider dynamics.
"M., Straesser, Martin; S., Eismann, Simon; J.V., von Kistowski, Jóakim V.; A., Bauer, Andre; S., Kounev, Samuel","Autoscaler Evaluation and Configuration: A Practitioner's Guideline","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158100722&partnerID=40&md5=3c05f8795b39662c6886f95fdcb1ce98","Autoscalers are indispensable parts of modern cloud deployments and determine the service quality and cost of a cloud application in dynamic workloads. The configuration of an autoscaler strongly influences its performance and is also one of the biggest challenges and showstoppers for the practical applicability of many research autoscalers. Many proposed cloud experiment methodologies can only be partially applied in practice, and many autoscaling papers use custom evaluation methods and metrics. This paper presents a practical guideline for obtaining meaningful and interpretable results on autoscaler performance with reasonable overhead. We provide step-by-step instructions for defining realistic usage behaviors and traffic patterns. We divide the analysis of autoscaler performance into a qualitative antipattern-based analysis and a quantitative analysis. To demonstrate the applicability of our guideline, we conduct several experiments with a microservice of our industry partner in a realistic test environment. © 2023 Elsevier B.V., All rights reserved.","Close work. Focuses on load test design. Qualitative tests propose load shapes, but leaves their configuration manual. Quantitative analysis focuses on statistically extracted workloads."
"M., Camilli, Matteo; A., Guerriero, Antonio; A.A., Janes, Andrea A.; B., Russo, Barbara; S., Russo, Stefano","Microservices Integrated Performance and Reliability Testing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133466454&partnerID=40&md5=2c7dbfa0b5b71841735e1706f9c2da05","Continuous quality assurance for extra-functional properties of modern software systems is today a big challenge as their complexity is constantly increasing to satisfy market demands. This is the case of microservice systems. They provide high control on the scale of operation by means of fine-grained service decomposition, but this demands careful consideration of the relations between performance of individual microservices and service failures. In this work, we propose MlPaRT, a novel methodology, and platform to automatically test microservice operations for performance and reliability in combination. The proposed platform can be integrated into a DevOps cycle to support continuous testing and monitoring by the automatic (1) generation and execution of performance-reliability ex-vivo testing sessions, (2) collection of monitoring data, (3) computation of performance and reliability metrics, and (4) integrated visualization of the results. We apply our approach by operating the platform on an open source benchmark. Results show that our integrated approach can provide additional insights into the performance and reliability behaviour of microservices as well as their mutual relationships. CCS CONCEPTS • Software and its engineering →Software performance; Software reliability; Software verification and validation. © 2022 Elsevier B.V., All rights reserved.",Employes statistical performance test generation from execution traces.  Statically defined performance traces.
"W., Meijer, Willem; C., Trubiani, Catia; A., Aleti, Aldeida","Experimental evaluation of architectural software performance design patterns in microservices","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202513844&partnerID=40&md5=c637e9e89577e34f37b75c74bf616c53","Microservice architectures and design patterns enhance the development of large-scale applications by promoting flexibility. Industrial practitioners perceive the importance of applying architectural patterns but they struggle to quantify their impact on system quality requirements. Our research aims to quantify the effect of design patterns on system performance metrics, e.g., service latency and resource utilization, even more so when the patterns operate in real-world environments subject to heterogeneous workloads. We built a cloud infrastructure to host a well-established benchmark system that represents our test bed, complemented by the implementation of three design patterns: Gateway Aggregation, Gateway Offloading, Pipe and Filters. Real performance measurements are collected and compared with model-based predictions that we derived as part of our previous research, thus further consolidating the actual impact of these patterns. Our results demonstrate that, despite the difficulty to parameterize our benchmark system, model-based predictions are in line with real experimentation, since the performance behaviors of patterns, e.g., bottleneck switches, are mostly preserved. In summary, this is the first work that experimentally demonstrates the performance behavior of microservices-based architectural patterns. Results highlight the complexity of evaluating the performance of design patterns and emphasize the need for complementing theoretical models with empirical data. © 2024 Elsevier B.V., All rights reserved.",Evaluation of microservice performance given architecture and design patterns
"M., Ezzeddine, Mazen; F., Baudé, Fran¸Coise; F., Huet, Fabrice; F., Laaziz, Fatima","Latency Aware and Resource-Efficient Bin Pack Autoscaling for Distributed Event Queues: Parameters Impact and Setting","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218680805&partnerID=40&md5=7455eaf020c9d25d6329d95eba2a872e","The event driven architectural style is becoming increasingly popular for designing large scale real time cloud applications. In this architectural style, an application is composed of a set of services that communicate by exchanging events over a distributed event queue rather than over remote procedure calls RPC. To achieve real time processing, services (event consumers) in the application must be able to consume and process events in less than a desired latency. Meeting such desired latency must be accomplished at low cost in terms of resources used. This paper presents a new approach to dynamic event consumer provisioning in distributed event queues, focusing on latency-awareness and resource efficiency. Our proposed solution models the dynamic event consumer replica provisioner as a two-dimensional bin packing problem. Furthermore, we discuss how dynamic event consumers provisioning in distributed event queues necessitates a blocking synchronization protocol that is at conflict with meeting a desired latency for high percentile of events. To address this issue, we propose an extension to the bin pack autoscaler logic to reduce the tail latency caused by the events accumulated during the blocking synchronization protocol. As part of the experimental work, we provide insights and recommendations on the configuration of the proposed bin pack model when the events processing time and the workload feature large variance. © 2025 Elsevier B.V., All rights reserved.",No load test generation.
"J., Cai, Jianjun; H., Yu, Hao; H., Zhang, Hong; D., Li, Dongyu","Design and Implementation of an Automotive Remanufactured Parts Management Platform Based on Microservice Architecture","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011938881&partnerID=40&md5=f55012690f4bb65101402cb93a4f8680","Automotive remanufacturing is a crucial approach to realizing resource recycling and environmental protection. This paper proposes and implements an automotive remanufactured parts management platform based on a microservice architecture. By adopting modular design and service-oriented splitting, the platform enhances the flexibility, scalability, and maintainability of the system. This paper elaborates on the platform's design concepts, architectural design, key technology implementation, and performance evaluation, and validates its effectiveness through experiments. © 2025 Elsevier B.V., All rights reserved.",No load test generation.
"Q., Zhang, Qinhong","Design and implementation analysis of microservices architecture for enterprise management software based on DevOps","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010653390&partnerID=40&md5=3b82c04b0bacbe1bb8b8e88bb74d0fea","This study explores the design and implementation of DevOps-based microservice architecture for smart city enterprise management software. In the context of smart city construction, the digital transformation of enterprises puts forward higher requirements for the flexibility and scalability of system architecture, and the traditional monolithic architecture can no longer meet the business needs of modern enterprises. The research adopts Spring Cloud framework to develop the system and realizes a three-tier microservice architecture design for smart city enterprise services and divides the business tier into 12 core microservices through domain-driven design methodology. The system adopts MySQL parent-child cluster for data management and is deployed on Kubernetes platform. Jenkins is used to achieve continuous integration and deployment, and the environment consistency is ensured by Docker containerization technology, which realizes the DevOps practice of full process automation. Functional testing verifies that the functional integrity of the system reaches 99.5%, and performance testing shows that the system supports 10,000 concurrent users with an average response time of 200ms, and system availability reaches 99.95%. With the read-write separation strategy, database query performance was improved by 62% and order processing time was reduced from 15 minutes to three minutes. The system provides replicable technical solutions and practical experience for the digital transformation of smart city enterprises, and has important theoretical and practical value for promoting the construction of smart cities. © 2025 Elsevier B.V., All rights reserved.",No load test generation.
"C.F.H.F.H., Villa, César Felipe Henao Felipe Henao; C.A., Echeverri-Gutiérrez, Camilo Andrés; L.C.A., Agudelo, Leidy Catalina Acosta; D.A.G., Arango, David Alberto García; L.M.G., Cano, Lisbet Maria Garzon; E.S., Arboleda, Euris Santa; M.E.H., Garcia, Marlo Eliecer Hoyos","Optimizing Microservices Performance and Scalability Through Automated Monitoring with Kubernetes and Prometheus","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000843699&partnerID=40&md5=5e040ac37eb48857460424852f46bd1b","Performance monitoring is essential to ensure the scalability and efficiency of microservices-based applications. This paper presents the design, development, and evaluation of an automated monitoring system using Kubernetes, Prometheus, and Grafana to optimize the performance of critical microservices within an ERP ecosystem, such as the OrderProcessingService and InventoryManagementService. Through continuous monitoring, the system collects real-time metrics, including CPU usage, memory consumption, and latency, enabling the detection of anomalies and performance regressions. Load testing with JMeter was conducted to simulate various system demands, identifying resource management issues and bottlenecks. The results show improvements in efficiency and stability, especially in memory management and reduced CPU usage in high-demand scenarios. OrderProcessingService demonstrated consistent performance, while InventoryManagementService showed variability, requiring further optimization. The developed system provides a foundation for continuous performance improvement, contributing to the scalability, reliability, and resilience of microservices-based architectures. © 2025 Elsevier B.V., All rights reserved.",No load test generation.
"Á., Leiter, Ákos; D., Matusovits, Döme; L., Bokor, László","Evaluation of traditional and eBPF-based packet processing in Kubernetes for network slicing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002118422&partnerID=40&md5=35465317f9d0f8f191eeef417e4cc023","In recent years, the proliferation of cloud-native technology enablers, such as microservice deployment and management with Kubernetes, have presented new challenges for telecommunications service providers. Strict data transmission requirements have emerged in various areas, such as immediate interventions in intelligent transportation, video conferencing, etc. With the advent of 5G networks, this demand can also be fulfilled thanks to an innovative technology called Network Slicing. In terms of its operation, we can separate networks into individual segments to continuously satisfy the desired service requirements. However, packet processing on top of Kubernetes may need to be changed to support the emerging number of microservices during slicing. This is where the Extended Berkeley Packet Filter (eBPF) comes into the picture to boost the capacity of data centers and keep service guarantees. This paper presents how eBPF can support network slicing through its performance evaluation in a Kubernetes environment. © 2025 Elsevier B.V., All rights reserved.",No load test generation.
"J., Park, Jinwoo; J., Park, Jaehyeong; Y., Jung, Youngmok; H., Lim, Hwijoon; H., Yeo, Hyunho; D., Han, Dongsu","TopFull: An Adaptive Top-Down Overload Control for SLO-Oriented Microservices","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202301555&partnerID=40&md5=984704d324063b1f7e77eff74a6c462a","Microservice has become a de facto standard for building large-scale cloud applications. Overload control is essential in preventing microservice failures and maintaining system performance under overloads. Although several approaches have been proposed, they are limited to mitigating the overload of individual microservices, lacking assessments of interdependent microservices and APIs.This paper presents TopFull, an adaptive overload control at entry for microservices that leverages global observations to maximize throughput that meets service level objectives (i.e., goodput). TopFull makes adaptive load control on a per-API basis, exercises parallel control on each independent subset of microservices, and applies RL-based rate controllers that adjust the admitted rates of the APIs at entry according to the severity of overload. Our experiments on various open-source benchmarks demonstrate that TopFull significantly increases goodput in overload scenarios, outperforming DAGOR by 1.82x and Breakwater by 2.26x. Furthermore, the Kubernetes autoscaler with TopFull serves up to 3.91x more requests under traffic surge and tolerates traffic spikes with up to 57% fewer resources than the standalone Kubernetes autoscaler. © 2024 Elsevier B.V., All rights reserved.",No load test generation.
